

         MODEL DEFAULTS
         --------------

Model Name:         PROJEC~1.MOD
Model Description:  BOWLING ALLEY
Output File:        UNTITLED.OUT
Output Plot Style:  NONE
Run Mode:           SINGLE_STEP
Trace Vars:         DAY,WDAY,AI,SI,B,SI,WAIT,CTIME,N,L[0],L[1],L[2],L[12],L[13],L[14],L[15],L[16],L[17],L[18],L[19],L[20],L[21],L[22],L[23
Random Number Seed: 12345
Initial Values:     0,26,0,0,0,0,0,0,0,0
Ending Condition:   STOP_ON_EVENT
Event:              END   (1 iterations)
Trace Events:       ALL EVENTS TRACED
Hide Edges:         



 Time        Event       Count       DAY         WDAY        AI          SI          B           SI          WAIT        CTIME       N           L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 0.000       RUN         1           0           0           0           0           0           0           0.000       0.000       0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 0.000       NEW DAY     1           1           0           0           0           0           0           0.000       0.000       0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 720.000     OPEN        1           1           1           0           0           0           0           0.000       0.000       0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 720.000     ARRIVE      1           1           1           1           0           0           0           0.000       0.000       0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 720.000     START       1           1           1           1           1           0           1           0.000       0.000       4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 720.726     ARRIVE      2           1           1           2           1           0           1           0.000       0.000       4           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 720.726     START       2           1           1           2           2           0           2           0.000       0.000       7           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 721.793     ARRIVE      3           1           1           3           2           0           2           0.000       0.000       7           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 721.793     START       3           1           1           3           3           0           3           0.000       0.000       8           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 728.330     ARRIVE      4           1           1           4           3           0           3           0.000       0.000       8           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 728.330     START       4           1           1           4           4           0           4           0.000       0.000       9           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 732.655     ARRIVE      5           1           1           5           4           0           4           0.000       0.000       9           0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 732.655     START       5           1           1           5           5           0           5           0.000       0.000       13          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 738.914     ARRIVE      6           1           1           6           5           0           5           0.000       0.000       13          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 738.914     START       6           1           1           6           6           0           6           0.000       0.000       17          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 743.643     ARRIVE      7           1           1           7           6           0           6           0.000       0.000       17          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 743.643     START       7           1           1           7           7           0           7           0.000       0.000       21          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 748.020     ARRIVE      8           1           1           8           7           0           7           0.000       0.000       21          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 748.020     START       8           1           1           8           8           0           8           0.000       0.000       25          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 748.340     ARRIVE      9           1           1           9           8           0           8           0.000       0.000       25          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 748.340     START       9           1           1           9           9           0           9           0.000       0.000       26          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 750.496     ARRIVE      10          1           1           10          9           0           9           0.000       0.000       26          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 750.496     START       10          1           1           10          10          0           10          0.000       0.000       30          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 753.031     ARRIVE      11          1           1           11          10          0           10          0.000       0.000       30          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 753.031     START       11          1           1           11          11          0           11          0.000       0.000       32          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 754.506     FINISH      1           1           1           11          11          0           11          0.000       0.000       32          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 755.084     ARRIVE      12          1           1           12          11          0           11          0.000       0.000       32          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 755.084     START       12          1           1           12          12          0           12          0.000       0.000       35          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 761.557     FINISH      2           1           1           12          12          0           12          0.000       0.000       35          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 766.536     ARRIVE      13          1           1           13          12          0           12          0.000       0.000       35          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 766.536     START       13          1           1           13          13          0           13          0.000       0.000       39          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 770.909     ARRIVE      14          1           1           14          13          0           13          0.000       0.000       39          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 770.909     START       14          1           1           14          14          0           14          0.000       0.000       40          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 773.272     ARRIVE      15          1           1           15          14          0           14          0.000       0.000       40          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 773.272     START       15          1           1           15          15          0           15          0.000       0.000       43          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 779.068     ARRIVE      16          1           1           16          15          0           15          0.000       0.000       43          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 779.068     START       16          1           1           16          16          0           16          0.000       0.000       44          0           0           0           0           0           0           0           0           0           0           0           0           0           0           0           
 780.000     LANES       1           1           1           16          16          0           16          0.000       0.000       44          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 782.757     ARRIVE      17          1           1           17          16          0           16          0.000       0.000       44          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 782.757     START       17          1           1           17          17          0           17          0.000       0.000       48          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 784.570     ARRIVE      18          1           1           18          17          0           17          0.000       0.000       48          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 784.570     START       18          1           1           18          18          0           18          0.000       0.000       49          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 785.773     FINISH      3           1           1           18          18          0           18          0.000       0.000       49          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 786.045     ARRIVE      19          1           1           19          18          0           18          0.000       0.000       49          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 786.045     START       19          1           1           19          19          0           19          0.000       0.000       50          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 788.488     ARRIVE      20          1           1           20          19          0           19          0.000       0.000       50          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 788.488     START       20          1           1           20          20          0           20          0.000       0.000       52          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 793.807     FINISH      4           1           1           20          20          0           20          0.000       0.000       52          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 796.436     ARRIVE      21          1           1           21          20          0           20          0.000       0.000       52          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 796.436     START       21          1           1           21          21          0           21          0.000       0.000       56          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 799.720     ARRIVE      22          1           1           22          21          0           21          0.000       0.000       56          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 799.720     START       22          1           1           22          22          0           22          0.000       0.000       57          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 801.155     ARRIVE      23          1           1           23          22          0           22          0.000       0.000       57          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 801.155     START       23          1           1           23          23          0           23          0.000       0.000       59          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 802.740     ARRIVE      24          1           1           24          23          0           23          0.000       0.000       59          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
 802.740     START       24          1           1           24          24          0           24          0.000       0.000       61          0           0           0           0           14          0           0           0           0           0           0           0           0           0           0           
