 Time        Event       Count       SI          B           WAIT        CTIME       N           WDAY        L[0]        L[1]        L[2]        L[12]       L[13]       L[14]       L[15]       L[16]       L[17]       L[18]       L[19]       L[20]       L[21]       L[22]       L[23]      
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 10740.000   END         1           1106        0           532.974     896.724     2864        7           50          6           0           6           89          131         142         131         110         130         138         137         126         124         130         
 10740.000   END         1           1106        0           532.974     896.724     2864        7           50          6           0           6           89          131         142         131         110         130         138         137         126         124         130         
 10740.000   END         1           1156        5           2429.801    805.346     2995        7           47          7           0           6           98          116         129         131         137         136         132         140         149         124         122         
 10740.000   END         1           1214        9           3662.547    840.533     3187        7           60          6           0           6           118         144         142         140         127         123         127         147         155         147         141         
 10740.000   END         1           1178        4           2168.358    897.700     3082        7           56          8           1           6           91          121         127         121         132         141         155         144         148         153         143         
 10740.000   END         1           1134        0           707.904     829.912     2981        7           48          3           0           6           84          126         142         126         133         143         130         127         122         138         129         
 10740.000   END         1           1142        3           1145.550    820.231     2914        7           41          5           0           6           89          142         142         134         137         134         121         130         132         133         113         
 10740.000   END         1           1174        14          3099.757    788.658     3120        7           55          5           0           6           86          123         132         145         145         133         159         153         151         147         138         
 10740.000   END         1           1088        0           362.032     777.084     2841        7           45          3           0           6           90          134         116         126         129         126         140         141         126         114         130         
 10740.000   END         1           1148        3           1964.287    804.735     2899        7           35          3           0           6           104         114         125         143         147         146         124         132         128         121         116         
 10740.000   END         1           1160        6           1804.858    883.123     3088        7           64          5           0           6           88          127         139         135         139         136         138         137         147         141         138         
 10740.000   END         1           1163        2           1599.853    934.948     2977        7           68          11          0           6           88          118         119         121         133         130         137         133         126         143         149         
 10740.000   END         1           1152        10          2550.612    841.058     3021        7           50          6           0           6           100         140         131         135         137         144         148         136         125         129         135         
 10740.000   END         1           1173        5           3425.055    838.224     3055        7           43          5           0           6           95          129         136         124         120         133         157         151         147         150         141         
 10740.000   END         1           1136        5           1597.505    837.525     2903        7           55          5           0           6           103         125         136         116         123         131         118         131         136         121         133         
 10740.000   END         1           1126        4           1457.708    858.677     2970        7           49          4           0           6           92          126         145         119         117         121         124         141         142         146         142         
 10740.000   END         1           1148        13          3466.248    878.337     3058        7           56          6           0           6           75          133         152         143         127         132         130         142         134         141         150         
 10740.000   END         1           1169        0           831.238     793.620     2995        7           41          3           0           6           86          136         150         133         141         140         137         134         124         132         144         
 10740.000   END         1           1173        10          2537.317    909.694     3004        7           58          9           0           6           74          131         125         148         151         148         146         137         108         125         146         
 10740.000   END         1           1186        4           3229.683    871.538     3043        7           47          5           0           6           95          128         137         143         138         142         138         148         143         132         134         
 10740.000   END         1           1135        2           1266.833    894.123     2950        7           64          13          0           6           95          123         110         113         135         151         137         134         132         134         152         
 10740.000   END         1           1194        6           3010.937    840.728     3150        7           70          6           0           6           96          132         142         151         143         155         134         143         139         124         144         
 10740.000   END         1           1149        5           2023.218    914.497     2996        7           51          5           0           6           92          135         152         137         113         123         113         133         148         149         145         
 10740.000   END         1           1125        1           1398.903    942.910     2955        7           55          9           0           6           105         133         123         134         135         131         124         134         123         120         152         
 10740.000   END         1           1156        12          2901.505    881.516     3041        7           60          8           0           6           83          137         135         133         130         116         132         141         151         147         145         
 10740.000   END         1           1133        2           885.651     840.843     2885        7           48          3           0           6           106         134         145         143         132         130         128         129         122         111         113         
 10740.000   END         1           1202        4           1979.221    809.838     3157        7           56          3           0           6           99          141         131         125         145         150         135         138         152         156         144         

 10740.000   END         1           1179        1           1589.907    841.385     3038        7           55          4           0           6           98          149         135         130         151         134         137         128         118         126         135         
 10740.000   END         1           1182        5           1949.735    844.307     3045        7           36          5           0           6           93          138         147         139         128         146         136         151         147         137         117         
 10740.000   END         1           1182        5           1949.735    844.307     3045        7           36          5           0           6           93          138         147         139         128         146         136         151         147         137         117         





























