"Ntree","Npred","misclass"
50,5,0.0994690683132104
50,10,0.0996578440240689
50,15,0.0996578440240689
50,20,0.0996263814055925
60,5,0.099181971919613
60,10,0.0993746804577811
60,15,0.0994140087308766
60,20,0.099630314232902
70,5,0.0989735320722067
70,10,0.0992448971565659
70,15,0.0992409643292563
70,20,0.0993786132850907
80,5,0.0988437487709915
80,10,0.0994376056947339
80,15,0.0992291658473276
80,20,0.0991977032288512
90,5,0.0990207259999213
90,10,0.0993117552208283
90,15,0.0992999567388996
90,20,0.0992488299838754
100,5,0.0988988083533252
100,10,0.0989853305541354
100,15,0.0991977032288512
100,20,0.0991544421284461
